n_estimators,learning_rate,max_depth,subsample,mean_test_score,std_test_score
100,0.01,3,0.8,-0.3992742764828039,0.018292379551942215
100,0.01,3,1.0,-0.40110520884401685,0.019417410749378188
100,0.01,5,0.8,-0.3653247554624455,0.010999166209009367
100,0.01,5,1.0,-0.3647247869855456,0.009609013477696141
100,0.05,3,0.8,-0.2720608664372389,0.007522914741987794
100,0.05,3,1.0,-0.2766987508555094,0.008476354627341271
100,0.05,5,0.8,-0.22681395264616833,0.004832365989255182
100,0.05,5,1.0,-0.2291977795675395,0.004007855193776334
100,0.1,3,0.8,-0.24963322036949132,0.0059394348340686505
100,0.1,3,1.0,-0.2570657040961356,0.008314627747149634
100,0.1,5,0.8,-0.20079437614872223,0.0032390413522249825
100,0.1,5,1.0,-0.20803231930594177,0.003506154328035497
