n_estimators,learning_rate,max_depth,subsample,mean_test_score,std_test_score
100,0.01,3,0.8,-0.4186030898752837,0.11042498515460783
100,0.01,3,1.0,-0.4180937810920714,0.10866761643670346
100,0.01,5,0.8,-0.39747917865108684,0.1032639994714475
100,0.01,5,1.0,-0.3958883082446297,0.09998128141418422
100,0.05,3,0.8,-0.30883377753491414,0.0956561212081283
100,0.05,3,1.0,-0.31226911658416606,0.09458305265408326
100,0.05,5,0.8,-0.27739333998718907,0.0892412100610435
100,0.05,5,1.0,-0.2786606589836609,0.0860935659033962
100,0.1,3,0.8,-0.2958244775790472,0.09184658730798465
100,0.1,3,1.0,-0.30012663187244204,0.09193726422898305
100,0.1,5,0.8,-0.2621331335085454,0.08913939481855092
100,0.1,5,1.0,-0.26679867994569495,0.08583772264337938
