n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,mean_test_score,std_test_score
100,10,log2,10,4,-0.27492072548272606,0.021538051252001113
200,10,log2,10,4,-0.27525837995194424,0.022388005728148936
300,10,log2,10,4,-0.275301669545572,0.021938022763442082
100,20,log2,10,4,-0.2650267600337398,0.02093397540699339
200,20,log2,10,4,-0.2653923601946133,0.02146005938830743
300,20,log2,10,4,-0.2655500358127412,0.02191420773547067
