n_estimators,learning_rate,max_depth,subsample,mean_test_score,std_test_score
100,0.01,3,0.8,-0.5106556142724014,0.04306599969695949
100,0.01,3,1.0,-0.5086476341713024,0.0405771817895613
100,0.01,5,0.8,-0.4670724222763692,0.03330525987122939
100,0.01,5,1.0,-0.46577722318314174,0.03210140513947017
100,0.05,3,0.8,-0.3688935466708743,0.02258069218754368
100,0.05,3,1.0,-0.3728588589941343,0.021525129974215178
100,0.05,5,0.8,-0.30114635449830346,0.016659432630103815
100,0.05,5,1.0,-0.30393349551540516,0.01738661343753034
100,0.1,3,0.8,-0.33634428501993063,0.0206805205430687
100,0.1,3,1.0,-0.3449372840969625,0.020072813050129742
100,0.1,5,0.8,-0.26546160675491043,0.012478403103950125
100,0.1,5,1.0,-0.2729083596596064,0.014399520200401215
