n_estimators,learning_rate,max_depth,subsample,mean_test_score,std_test_score
100,0.01,3,0.8,-0.49781560535141145,0.008197970684554258
100,0.01,3,1.0,-0.5001974800299016,0.009958425565626866
100,0.01,5,0.8,-0.4633092649140411,0.013367892944834831
100,0.01,5,1.0,-0.46421429113419255,0.010709477076697622
100,0.05,3,0.8,-0.3629199917752468,0.012944487818573843
100,0.05,3,1.0,-0.3653602168120617,0.012638701014928136
100,0.05,5,0.8,-0.3071200570338203,0.01839185270051164
100,0.05,5,1.0,-0.3142929999418061,0.017423865017596452
100,0.1,3,0.8,-0.3379054008209489,0.014115281066425104
100,0.1,3,1.0,-0.3438552593641986,0.014736968164909764
100,0.1,5,0.8,-0.27664182830555556,0.018379223092955053
100,0.1,5,1.0,-0.289558996596371,0.0174422768987161
