alpha,mean_test_score,std_test_score
0.01,-0.0842945098051788,0.007358953535160922
0.1,-0.21222514638615775,0.012960743127596546
1.0,-0.29890463794805544,0.016956927850151838
10.0,-0.41643250520036446,0.018667214526730858
100.0,-0.7000013375384837,0.032237960813634385
