n_estimators,learning_rate,max_depth,subsample,mean_test_score,std_test_score
100,0.01,3,0.8,-0.4009240395954978,0.015745631998691965
100,0.01,3,1.0,-0.40270943844355367,0.015945563214812615
100,0.01,5,0.8,-0.3736144812724215,0.016125985536154012
100,0.01,5,1.0,-0.3727079881764118,0.016876409070265094
100,0.05,3,0.8,-0.27656332971126846,0.014833959163325682
100,0.05,3,1.0,-0.2795646686765111,0.012962318284765347
100,0.05,5,0.8,-0.23409475849689257,0.010966741460681495
100,0.05,5,1.0,-0.23756281379811267,0.012181297322422142
100,0.1,3,0.8,-0.256587509416486,0.011311530919909184
100,0.1,3,1.0,-0.2621269949132274,0.012533527814740394
100,0.1,5,0.8,-0.2105010105000876,0.011597227819329921
100,0.1,5,1.0,-0.220595552232695,0.010959602045167653
