Ranking,Vehicle Year-Model,Coefficient
4987.0,1998.0_MONTE CARLO,-78.12105880467207
4986.0,1994.0_RANGER,-78.06016630176134
4985.0,2006.0_ACCENT,-77.68531023627051
4984.0,2005.0_AMANTI,-77.67619761381214
4983.0,2016.0_FOCUS,-77.37820210430993
4982.0,1999.0_GALANT,-77.10676341394175
4981.0,2010.0_TOWN CAR,-77.04246303030769
4980.0,2012.0_QUEST,-76.62959322046974
4979.0,2009.0_XF,-76.59428546299384
4978.0,1993.0_CAPRI,-76.38538053517591
4977.0,1994.0_CAMARO,-76.34814274466643
4976.0,2015.0_JOURNEY,-76.14841719424557
4975.0,1999.0_CAMARO,-75.77741246519751
4974.0,2010.0_ESCAPE HYBRID,-75.62318670118414
4973.0,2012.0_ECLIPSE,-75.56759463439938
4972.0,2001.0_RODEO SPORT,-75.50993826775934
4971.0,2005.0_SABLE,-75.38373044873677
4970.0,1994.0_5 SERIES,-75.34848294331734
4969.0,2018.0_ENCORE,-75.22864995141929
4968.0,1992.0_LUMINA,-75.14594274632557
4967.0,2011.0_IMPALA,-75.13275287849311
4966.0,2014.0_SENTRA,-75.09060425925031
4965.0,2005.0_CLK-CLASS,-74.99237810849968
4964.0,1996.0_BRONCO,-74.90432766921394
4963.0,2013.0_GOLF,-74.66067501001952
4962.0,2018.0_EXPLORER,-74.49221278435346
4961.0,2001.0_EXPLORER SPORT,-74.4619176052707
4960.0,2017.0_SPARK,-74.34787042815937
4959.0,2018.0_COROLLA,-74.30057857760447
4958.0,2015.0_ESCAPE,-74.25942991252118
4957.0,2007.0_PASSAT,-73.893964122137
4956.0,2015.0_GRAND CHEROKEE,-73.76184965068373
4955.0,2003.0_COOPER,-73.39979892235512
4954.0,2004.0_FREESTAR,-73.38964760527382
4953.0,2003.0_DEVILLE,-73.38204031312222
4952.0,1997.0_REGAL,-73.36324577321045
4951.0,2012.0_CC,-73.16144811860863
4950.0,2004.0_ALERO,-73.16104622268669
4949.0,1998.0_LUMINA,-73.1297788651156
4948.0,2020.0_VELOSTER,-72.94102895376874
4947.0,1969.0_RIVIERA,-72.77820188819592
4946.0,1998.0_RL,-72.50787955031504
4945.0,2012.0_COROLLA,-72.48985524889844
4944.0,2001.0_DEVILLE,-72.44116562914513
4943.0,2001.0_C-CLASS,-72.42496123902852
4942.0,1991.0_PARK AVENUE,-72.251872412087
4941.0,1994.0_B-SERIES,-72.1210090119124
4940.0,2005.0_E-CLASS,-71.81341453866779
4939.0,2000.0_TT,-71.72105206381102
4938.0,1990.0_NINETY EIGHT,-71.59139317315213
4937.0,2004.0_XA,-71.53516075902763
4936.0,1999.0_AVENGER,-71.51580005979523
4935.0,2016.0_VERSA,-71.39593740440132
4934.0,2015.0_IMPREZA,-71.13370139716123
4933.0,2017.0_FOCUS,-71.07649050513758
4932.0,1995.0_C2500,-70.70985041243863
4931.0,1999.0_MUSTANG,-70.65150823966567
4930.0,2012.0_FLEX,-70.62586367179605
4929.0,2007.0_MUSTANG,-70.5751369818042
4928.0,2010.0_MAXIMA,-70.47637253579157
4927.0,1997.0_4RUNNER,-70.31398288816659
4926.0,1993.0_GRAND AM,-70.15085866062523
4925.0,2004.0_ODYSSEY,-70.08253697345715
4924.0,1990.0_S10,-69.98767394822791
