Vehicle Year-Model,Coefficient,Ranking
2002.0_GRAND PRIX,-2.9627863872257407,4988.0
1989.0_300,-2.957634494535697,4987.0
2006.0_MAGNUM,-2.9452610954727607,4986.0
1998.0_HOMBRE,-2.939308952827524,4985.0
2005.0_S-TYPE,-2.9369255031938946,4984.0
1995.0_CUTLASS CIERA,-2.9268567125002907,4983.0
1983.0_BRAT,-2.9248935292313276,4982.0
2008.0_ASTRA,-2.9222170576713977,4981.0
2009.0_SPORTAGE,-2.918064499690135,4980.0
1999.0_CAMARO,-2.915344254585633,4979.0
1988.0_200SX,-2.907241994203483,4978.0
2009.0_G5,-2.9008553110096407,4977.0
2000.0_ESTEEM,-2.900814244147737,4976.0
2007.0_TAHOE,-2.9003792928949252,4975.0
1989.0_REGAL,-2.898390870141413,4974.0
1987.0_I MARK,-2.882573046851981,4973.0
1999.0_SAFARI,-2.880112712365583,4972.0
2005.0_G6,-2.8758592742077105,4971.0
1990.0_F-350,-2.873941236983432,4970.0
1997.0_EXPLORER,-2.870665962847026,4969.0
2002.0_MONTANA,-2.8597087693409176,4968.0
2018.0_CX-5,-2.833941415631129,4967.0
1987.0_PRELUDE,-2.8320135443068075,4966.0
2010.0_TRANSIT CONNECT,-2.8314867156426606,4965.0
2007.0_3-Sep,-2.8293890976657794,4964.0
2000.0_ESCORT,-2.829271787996568,4963.0
2014.0_EQUINOX,-2.825565956328527,4962.0
2020.0_OPTIMA,-2.8223233330245203,4961.0
2008.0_DURANGO,-2.8154940885874677,4960.0
1996.0_BRONCO,-2.8150718695825967,4959.0
2002.0_PROTEGE5,-2.794947222379613,4958.0
1987.0_SABLE,-2.785568261785301,4957.0
2007.0_COMMANDER,-2.7852187683011085,4956.0
1995.0_METRO,-2.7777813605280186,4955.0
1989.0_TAURUS,-2.776779439662087,4954.0
2014.0_EQUUS,-2.7719069481734353,4953.0
1992.0_PATHFINDER,-2.7662900552921807,4952.0
2011.0_IMPALA,-2.763031078228199,4951.0
2014.0_VERSA NOTE,-2.757062900426054,4950.0
1994.0_ASTRO,-2.747332057937489,4949.0
2000.0_VOYAGER,-2.7311308916722483,4948.0
2000.0_SIERRA,-2.7300433966617423,4947.0
2006.0_300,-2.7269586319807657,4946.0
2008.0_F-150,-2.7234933181396404,4945.0
2017.0_CAMARO,-2.722547561556234,4944.0
1991.0_MAXIMA,-2.7152265938545983,4943.0
2000.0_NEON,-2.714124658451895,4942.0
2014.0_ESCAPE,-2.690339647478794,4941.0
1983.0_REGAL,-2.68978509174165,4940.0
2013.0_XV CROSSTREK,-2.6894124314769305,4939.0
2006.0_ENVOY XL,-2.688697692865852,4938.0
1997.0_PASSAT,-2.6776592089938864,4937.0
1993.0_PASEO,-2.6762564986144346,4936.0
1999.0_GRAND PRIX,-2.6746877629805295,4935.0
2001.0_ALERO,-2.6723239192358332,4934.0
1997.0_TERCEL,-2.672017086070371,4933.0
2015.0_EQUINOX,-2.6712567315206828,4932.0
2007.0_RDX,-2.6703551244548316,4931.0
2006.0_ACCENT,-2.661302642060397,4930.0
1989.0_CUTLASS CALAIS,-2.659901495109385,4929.0
2011.0_NITRO,-2.6518043157437803,4928.0
2005.0_CENTURY,-2.6513571178917887,4927.0
2001.0_SUNFIRE,-2.6432459480246804,4926.0
2012.0_HIGHLANDER,-2.638976920736431,4925.0
2006.0_300C,-2.635899332174768,4924.0
2019.0_VERSA,-2.633831956651112,4923.0
1996.0_PRIZM,-2.628224828425722,4922.0
2000.0_F-350,-2.6276258203693814,4921.0
2001.0_5 SERIES,-2.6043911334795156,4920.0
1982.0_S10,-2.6041091481948646,4919.0
2006.0_S-CLASS,-2.5995352378267134,4918.0
2009.0_BORREGO,-2.59636618324165,4917.0
1997.0_REGAL,-2.5884269579823838,4916.0
2007.0_VUE,-2.5883913157968466,4915.0
2010.0_ESCAPE,-2.5819420292923922,4914.0
1999.0_SIENNA,-2.581834266552502,4913.0
2000.0_SLK-CLASS,-2.57904113480651,4912.0
2007.0_CX-9,-2.573141315530424,4911.0
1985.0_RANGER,-2.560999415216364,4910.0
2009.0_EXPLORER,-2.5607558755932174,4909.0
2007.0_ENTOURAGE,-2.5597457172992364,4908.0
2014.0_SOUL,-2.5597372978249586,4907.0
2014.0_500,-2.5590691381437,4906.0
2001.0_F-150,-2.5530943336232514,4905.0
2004.0_C-CLASS,-2.550895284749568,4904.0
1987.0_PICKUP,-2.5491416950606256,4903.0
1989.0_740 SERIES,-2.548045578042697,4902.0
2004.0_PILOT,-2.5433845048463,4901.0
1993.0_CAPRI,-2.542419671820835,4900.0
1999.0_F-150,-2.540952662043242,4899.0
1993.0_SUNDANCE,-2.5355894289149465,4898.0
1997.0_BONNEVILLE,-2.5224442395198845,4897.0
